Timestamp, Engine Vibration, Chassis Vibration (error), Reference Signal, inverse
4137406514,0.00561916,-0.00574514,0,0
4138422638,0.00642478,-0.00252244,0,0
4139498817,-0.00243748,-0.00332817,0,0
4140580275,-0.00404883,-0.00252244,0,0
4141944156,-0.00485444,-0.00332817,0,0
4143021298,-0.00243748,0.0023115,0,0
4144100866,-0.00163186,0.0055342,0,0
4145180157,0.0032022,0.00714556,0,0
4146259114,0.00239646,0.00633982,0,0
4147338830,-0.00243748,0.00392285,0,0
4148417546,-0.00566018,0.00875679,0,0
4149497207,-0.00727153,-0.000911085,0,0
4150577164,-0.0064658,-0.00413379,0,0
4151651269,-0.0169394,-0.00735649,0,0
4152727152,-0.00404883,-0.00735649,0,0
4153802739,-0.00243748,-0.00655076,0,0
4154878159,-0.00324321,-0.00735649,0,0
4155953542,-0.0096885,-0.00574514,0,0
4157028925,-0.00807715,-0.00574514,0,0
4158104845,-0.000826124,-0.00332817,0,0
4159178858,0.00239646,0.00311724,0,0
4160262537,0.00723052,0.00311724,0,0
4161340568,0.000785109,0.00633982,0,0
4162418266,-0.00324321,0.000700148,0,0
4163496612,0.00239646,-0.00252244,0,0
4164575921,0.0136758,0.00795117,0,0
4165653600,0.0152872,0.00311724,0,0
4166730817,0.00723052,-0.00171682,0,0
4167807533,-0.00163186,-0.00493941,0,0
4168905193,-0.0096885,-0.00816211,0,0
4169966040,-0.00566018,-0.00574514,0,0
4171040682,0.00884175,-0.00896773,0,0
4172115898,0.00884175,-0.00574514,0,0
4173191707,0.000785109,-0.00171682,0,0
4174266979,-0.00324321,0.00150588,0,0
4175342769,-0.00243748,-0.000105469,0,0
4176418412,-0.00324321,0.00392285,0,0
4177494017,0.000785109,0.00311724,0,0
4178569418,-0.00243748,-0.000911085,0,0
4179644783,-0.00566018,-0.00413379,0,0
4180730073,-0.00404883,0.0055342,0,0
4181829845,-0.0064658,0.0055342,0,0
4182908950,-0.00727153,-0.00252244,0,0
4183987611,0.00239646,-0.00896773,0,0
4185066957,-0.00566018,-0.00896773,0,0
4186146303,0.000785109,-0.00493941,0,0
4187225278,-0.00485444,-0.00252244,0,0
4188304587,-0.0145224,-0.00252244,0,0
4189383952,-0.00485444,0.00311724,0,0
4190467075,0.00239646,0.000700148,0,0
4191546070,0.00964748,-0.000911085,0,0
4192624804,0.00400781,0.00795117,0,0
4193703891,-0.00888276,0.00633982,0,0
4194782737,-0.000826124,0.00472847,0,0
4195862213,0.00884175,-0.000105469,0,0
4196940096,0.0160928,-0.00171682,0,0
4198017960,0.0128701,0.0055342,0,0
4199095547,0.00239646,0.00150588,0,0
4200177022,-0.00485444,0.000700148,0,0
4201255053,0.0032022,-0.00574514,0,0
4202334214,0.0104531,-0.00735649,0,0
4203412282,0.0136758,-0.00655076,0,0
4204490202,0.00481343,-0.00735649,0,0
4205567456,-0.00485444,-0.00735649,0,0
4206646654,-0.00485444,-0.000911085,0,0
4207725722,-0.00485444,0.00633982,0,0
4208805179,-2.05078e-05,-0.00252244,0,0
4209888432,0.00642478,-0.000105469,0,0
4210963760,-0.00163186,-0.00493941,0,0
4212042754,-0.0104941,-0.000105469,0,0
4213122025,-0.0104941,-0.000105469,0,0
4214201020,-0.00243748,0.00714556,0,0
4215280403,-0.000826124,0.00633982,0,0
4216359211,-0.0064658,-0.00332817,0,0
4217438261,-0.00807715,-0.00574514,0,0
4218517496,-0.0209677,-0.00655076,0,0
4219596546,-0.00888276,-0.00493941,0,0
4220679836,-0.00404883,-0.00413379,0,0
4221758552,0.00239646,-0.00493941,0,0
4222837657,-0.00727153,-0.00816211,0,0
4223917022,-0.0169394,-0.00171682,0,0
4224995775,0.0032022,0.00150588,0,0
4226075158,0.00642478,0.00392285,0,0
4227154208,0.00642478,0.000700148,0,0
4228233350,-0.00404883,0.00392285,0,0
4229312178,-0.0064658,-0.000105469,0,0
4230395579,0.00723052,0.00150588,0,0
4231474740,0.0136758,0.0103681,0,0
4232553826,0.00964748,0.00311724,0,0
4233631635,-0.000826124,-0.00332817,0,0
4234709407,-0.00324321,-0.00816211,0,0
4235787235,-2.05078e-05,-0.00574514,0,0
4236865007,0.00803613,-0.00332817,0,0
4237942945,0.0112588,-0.00171682,0,0
4239021921,0.00561916,-0.00332817,0,0
4240105415,0.00239646,-0.00171682,0,0
4241182779,-0.000826124,-0.00171682,0,0
4242259033,0.00642478,0.00150588,0,0
4243338471,0.00561916,0.00472847,0,0
4244417299,0.0032022,0.00311724,0,0
4245496663,-0.00243748,-0.000105469,0,0
4246575435,-0.00485444,-0.00252244,0,0
4247654651,-0.00566018,0.00633982,0,0
4248733812,-0.00243748,0.0055342,0,0
4249813399,-0.00404883,0.000700148,0,0
4250892615,-0.00888276,-0.00655076,0,0
