Timestamp, Input Raw, Input Filtered, Output, Error
98854,0.00553113,-1.60538,0,-1.60538
1170128,-0.00172156,-1.52077,1.8685e-05,-1.52077
2232108,0.000696001,-1.43615,3.50944e-06,-1.43616
3295253,-0.000915709,-1.35154,2.71875e-05,-1.35154
4358103,-0.00252742,-1.26773,9.69656e-05,-1.26774
5421508,0.00230771,-1.18311,2.51594e-05,-1.18313
6485857,0.00230771,-1.0985,-4.29881e-05,-1.09852
7549225,0.00472528,-1.01308,-0.000176916,-1.0131
8611963,0.00633698,-0.928462,-0.000349596,-0.928464
9675572,0.00472528,-0.843846,-0.00046583,-0.8438
10742124,0.00472528,-0.759231,-0.000574552,-0.759109
11803826,0.00633698,-0.674615,-0.000722165,-0.674407
12867397,0.00875455,-0.589194,-0.000929322,-0.588904
13931524,0.00230771,-0.504579,-0.000936653,-0.504204
14995151,0.00391942,-0.419963,-0.000986768,-0.419504
16059593,-0.00252742,-0.335348,-0.000844516,-0.334807
17122943,-0.00172156,-0.251538,-0.000729557,-0.250964
18186255,0.00230771,-0.166923,-0.000736569,-0.166346
19249863,0.0103663,-0.0815018,-0.000966742,-0.0809668
20315101,0.00633698,0.00311357,-0.00106911,0.0036207
21378877,0.00714284,0.00311357,-0.00118813,0.00363478
22441985,0.00311357,0.00311357,-0.00116062,0.00370583
23504446,0.0160074,0.00391942,-0.00150427,0.00458022
24567332,0.0103663,0.00472528,-0.00165536,0.00546144
25629923,0.0103663,0.00553113,-0.00179235,0.00633501
26692957,0.00553113,0.00553113,-0.001788,0.00645262
27756121,0.00311357,0.00553113,-0.0017126,0.00654859
28817619,-0.000915709,0.00553113,-0.00151859,0.00661739
29879950,0.00150186,0.00472528,-0.00139882,0.00581602
30943781,0.00150186,0.00472528,-0.00131017,0.00577361
32006519,-0.00172156,0.00472528,-0.00112495,0.00569478
33071683,-0.00172156,0.00391942,-0.000968472,0.00480696
34134514,-0.000915709,0.00391942,-0.000831768,0.00472424
35197493,0.000696001,0.00391942,-0.000728309,0.00463052
36260657,0.00472528,0.00391942,-0.000719528,0.00453883
37324692,0.0103663,0.00472528,-0.000894888,0.00526611
38387967,0.0111721,0.00472528,-0.0010845,0.00522325
39451168,0.011978,0.00553113,-0.00130298,0.00603936
40520183,0.00875455,0.00553113,-0.00137506,0.00611283
41586162,-0.000915709,0.00472528,-0.00119637,0.00540686
42649530,0.000696001,0.00472528,-0.00108239,0.00549367
43714379,0.00311357,0.00472528,-0.00106834,0.0055218
44779080,0.00311357,0.00391942,-0.00106542,0.00467928
45844948,-0.00252742,0.00311357,-0.000911763,0.00382532
46910426,-0.00575096,0.00230771,-0.000660505,0.00298012
47974220,-0.00172156,0.00230771,-0.0005375,0.00293484
49038958,-0.00333339,0.00230771,-0.00038293,0.00285542
50102770,0.0103663,0.00230771,-0.000626674,0.00274875
51167971,0.00633698,0.00311357,-0.000732068,0.00347902
52232802,0.00472528,0.00311357,-0.000774433,0.00344607
53298188,0.00391942,0.00311357,-0.000774981,0.00349519
54362944,0.0103663,0.00391942,-0.000946023,0.00435365
55427238,0.0103663,0.00472528,-0.00111435,0.0052093
56492124,0.00472528,0.00472528,-0.00111839,0.00525384
57557084,0.00150186,0.00472528,-0.00105063,0.0053207
58622100,-0.00413925,0.00391942,-0.000860872,0.00457425
59687616,-0.000915709,0.00311357,-0.00076468,0.00378056
60753039,0.000696001,0.00230771,-0.00071034,0.00293935
61818129,-0.00333339,0.00150186,-0.000543498,0.00206243
62881867,-0.00172156,0.00150186,-0.000450687,0.00199298
63946457,-0.000915709,0.00150186,-0.000389789,0.00192854
65011213,0.00472528,0.00150186,-0.000472006,0.00185835
66075822,0.011978,0.00230771,-0.000758138,0.00261475
67140597,0.0103663,0.00311357,-0.000931617,0.00341181
68205020,0.00472528,0.00311357,-0.000954201,0.0034652
69270277,0.00311357,0.00391942,-0.000937726,0.00437188
70351679,0.00553113,0.00391942,-0.00099609,0.00445794
71416843,0.0103663,0.00391942,-0.00117194,0.00450539
72480581,0.00472528,0.00391942,-0.00118461,0.00453397
73545541,-0.000915709,0.00391942,-0.0010604,0.00457081
74610186,-0.00252742,0.00311357,-0.000908577,0.00380868
75674813,-0.000915709,0.00311357,-0.000826907,0.00381221
76740199,0.00311357,0.00230771,-0.000846728,0.00296399
77805123,0.00391942,0.00230771,-0.000878425,0.00290285
78869638,0.011978,0.00311357,-0.00114981,0.00366672
79934413,0.0111721,0.00391942,-0.00136843,0.00447899
81000448,0.00150186,0.00391942,-0.0012846,0.00453129
82064149,0.00714284,0.00391942,-0.00134289,0.00462636
83129442,0.00553113,0.00472528,-0.00132879,0.00551595
84194069,0.0111721,0.00553113,-0.00149268,0.00635203
85259307,0.00553113,0.00553113,-0.00150922,0.00637899
86323767,0.00794869,0.00553113,-0.00159917,0.00639981
87388191,-0.00172156,0.00472528,-0.00139482,0.00564377
88453688,-0.00413925,0.00472528,-0.00111789,0.00566544
89517778,-0.0049451,0.00391942,-0.000858056,0.00485085
90583812,-0.00172156,0.00391942,-0.000723989,0.00476125
91647328,0.00230771,0.00311357,-0.000712507,0.0038254
92711085,0.00230771,0.00311357,-0.000688551,0.00369574
93775027,-0.00575096,0.00230771,-0.000414715,0.00280245
94839561,0.00391942,0.00311357,-0.000432195,0.00355168
95917556,0.00714284,0.00311357,-0.000518445,0.00350231
96969204,0.011978,0.00391942,-0.000754308,0.00424382
98032423,0.0192308,0.00472528,-0.0012272,0.005045
99098643,0.011978,0.00553113,-0.00144492,0.00591701
100161640,0.00311357,0.00472528,-0.00140366,0.00525392
101236469,0.00553113,0.00472528,-0.00141911,0.00543174
102293005,0.00311357,0.00472528,-0.00139064,0.00555597
103357539,0.00311357,0.00391942,-0.00135865,0.00479724
104422055,-0.000109854,0.00391942,-0.00127042,0.00480495
105487274,-0.00252742,0.00311357,-0.00111724,0.00398198
106551846,-0.00655681,0.00311357,-0.000847806,0.00395001
107616639,-0.000915709,0.00230771,-0.000734369,0.00308009
108682414,-0.000915709,0.00230771,-0.00060757,0.00298761
109746393,0.000696001,0.00230771,-0.000532559,0.00287322
110813446,0.00553113,0.00311357,-0.00062412,0.00358693
111878332,0.00875455,0.00391942,-0.000761634,0.00432637
112941940,0.00875455,0.00391942,-0.000881628,0.00430435
114006623,0.00311357,0.00391942,-0.000821501,0.00433419
115071324,0.011978,0.00472528,-0.00100969,0.00519257
116136469,0.00150186,0.00472528,-0.000928607,0.00524934
117200874,-0.00172156,0.00391942,-0.000797957,0.00447041
118265612,-0.00413925,0.00311357,-0.000598065,0.00369312
119330443,-0.00172156,0.00230771,-0.00049092,0.00285797
120403772,0.00230771,0.00230771,-0.000507879,0.00279515
121460419,-0.00252742,0.00150186,-0.000396209,0.00190578
122524231,0.00230771,0.00150186,-0.000435379,0.00184087
123588987,-0.000109854,0.00150186,-0.000409172,0.00180732
124653466,0.000696001,0.00150186,-0.000378989,0.00177751
125718112,0.00311357,0.00150186,-0.000416054,0.00176907
126782850,0.00714284,0.00150186,-0.000558137,0.00175938
127847903,0.00391942,0.00230771,-0.000582146,0.00257015
